название,дистрибьютор,дата_старта,тотал_экраны,тотал_сбор,тотал_зритель,тотал_наработка,сбор_чт,множ_чт,премьерный_уикенд_экраны,премьерный_уикенд_сбор,премьерный_уикенд_зритель,премьерный_уикенд_наработка,второй_уикенд_сбор,второй_уикенд_зритель,второй_уикенд_падение,превью_сбор,превью_дни,жанр,страна
ОН+ОНА,KNT,29.02.24,341,"4,1 млн",13 тыс,12 тыс,,,341,"2,4 млн","7,2 тыс","7,0 тыс",569 тыс,"1,9 тыс",76.17,,,"комедия, мелодрама",RUONLY
СТИФФЕЛИО / Stiffelio,KAP,29.02.24,35,383 тыс,823,11 тыс,,,35,182 тыс,390,"5,2 тыс",,,,,,опера/балет,RUONLY
КОМАНДИР,CRP,22.02.24,1997,167 млн,502 тыс,84 тыс,,,1997,92 млн,254 тыс,46 тыс,33 млн,100 тыс,64.41,,,"драма, боевик",RUONLY
СВЕТ,CPF,22.02.24,197,"3,3 млн","9,9 тыс",17 тыс,,,197,"1,4 млн","4,2 тыс","7,1 тыс",461 тыс,"1,6 тыс",66.83,,,драма,RUONLY
МУЛЬТ В КИНО. ВЫПУСК № 166. СОВЕРШЕННО НОВЫЙ ВЫПУСК,MVK,22.02.24,623,"4,1 млн",27 тыс,"6,5 тыс",,,476,"1,4 млн","8,8 тыс","2,9 тыс",933 тыс,"6,1 тыс",32.13,,,анимация,RUONLY
КОМАНДИР. РЕЖИССЕРСКАЯ ВЕРСИЯ,CRP,22.02.24,65,"1,8 млн","5,6 тыс",27 тыс,,,65,"1,2 млн","3,3 тыс",19 тыс,,,,,,"драма, боевик",RUONLY
СХВАТКА / Хапсыһыы,SMKT,22.02.24,32,"6,8 млн",21 тыс,214 тыс,,,32,"3,4 млн","9,8 тыс",106 тыс,"1,2 млн","3,5 тыс",65.04,,,"биография, драма, спорт",RUONLY
ЛЕД 3,NMG,15.02.24,2426,"1,9 млрд","5,4 млн",792 тыс,,,2426,531 млн,"1,4 млн",219 тыс,466 млн,"1,3 млн",12.2,158 млн,ПН - СР,мелодрама,RUONLY
ТАЙНОЕ ВЛЕЧЕНИЕ,KAP,15.02.24,50,"1,6 млн","4,3 тыс",32 тыс,,,50,976 тыс,"2,4 тыс",20 тыс,214 тыс,536,78.08,,,"драма, мелодрама",RUONLY
МЕЖДУ НАМИ ЛЕТО,CP,15.02.24,796,20 млн,63 тыс,25 тыс,,,796,"8,3 млн",24 тыс,10 тыс,"4,9 млн",16 тыс,41.12,"2,0 млн",ПН - СР,"комедия, музыка",RUONLY
ПОРТНОЙ ИЗ БРУКЛИНА,RFLF,08.02.24,27,591 тыс,"1,9 тыс",22 тыс,,,27,279 тыс,770,10 тыс,,,,,,драма,RUONLY
Я – МЕДВЕДЬ,CRP,01.02.24,1949,171 млн,610 тыс,88 тыс,,,1949,62 млн,209 тыс,32 тыс,39 млн,134 тыс,37,,,семейный,RUONLY
КОНЕЦ СЛАВЫ,CP,01.02.24,1828,316 млн,887 тыс,173 тыс,,,1828,130 млн,346 тыс,71 тыс,71 млн,190 тыс,45.6,330 тыс,ПН - СР,комедия,RUONLY
БРАТ 3,HHG,01.02.24,11,531 тыс,"1,2 тыс",48 тыс,,,11,111 тыс,299,10 тыс,,,,,,"комедия, криминал",RUONLY
ПРАВДА,PNR,01.02.24,85,982 тыс,"2,5 тыс",12 тыс,,,85,539 тыс,"1,3 тыс","6,3 тыс",,,,,,"драма, триллер",RUONLY
ДЕТКА,KAP,01.02.24,96,"1,1 млн","3,3 тыс",12 тыс,,,96,439 тыс,"1,2 тыс","4,6 тыс",258 тыс,669,41.38,,,драма,RUONLY
БЕЗУМНЫЙ АНГЕЛ ПИНОККИО,KAP,01.02.24,26,891 тыс,"1,6 тыс",34 тыс,,,26,295 тыс,468,11 тыс,191 тыс,320,35.42,,,фэнтези,RUONLY
МАСТЕР И МАРГАРИТА,AK,25.01.24,2339,"2,5 млрд","6,0 млн","1,1 млн",,,2336,435 млн,"1,0 млн",186 тыс,417 млн,985 тыс,4.14,,,"драма, фэнтези",RUONLY
ПАНИЧЕСКИЕ АТАКИ,RFLF,25.01.24,24,760 тыс,"2,0 тыс",32 тыс,,,24,277 тыс,661,12 тыс,,,,,,драма,RUONLY
МУЛЬТ В КИНО. ВЫПУСК № 165. МУЛЬТИКОВ ВСЕГДА МАЛО,MVK,25.01.24,572,"3,7 млн",25 тыс,"6,4 тыс",,,399,"1,1 млн","7,1 тыс","2,8 тыс","1,1 млн","7,1 тыс",2.68,,,анимация,RUONLY
ТИМИР,SMKT,25.01.24,41,12 млн,36 тыс,290 тыс,,,41,"4,2 млн",12 тыс,103 тыс,"2,8 млн","8,1 тыс",34.8,,,"комедия, приключения, драма",RUONLY
ВОЗДУХ,NMG,18.01.24,2240,504 млн,"1,6 млн",225 тыс,,,2240,141 млн,403 тыс,63 тыс,104 млн,316 тыс,26.09,,,"драма, военный",RUONLY
"ТАНЦУЙ, СЕЛЕДКА!",VLG,18.01.24,566,"9,5 млн",28 тыс,17 тыс,,,566,"5,4 млн",15 тыс,"9,6 тыс","1,2 млн","3,7 тыс",77.03,277 тыс,ПН - СР,комедия,RUONLY
СЕВИЛЬСКИЙ ЦИРЮЛЬНИК,KAP,18.01.24,39,610 тыс,"1,4 тыс",16 тыс,,,8,128 тыс,405,16 тыс,213 тыс,437,-66.04,,,опера/балет,RUONLY
ТУРБОЗАВРЫ. ГОД ДРАКОНА,CP,11.01.24,1046,19 млн,79 тыс,18 тыс,,,1046,"9,2 млн",36 тыс,"8,8 тыс","5,0 млн",21 тыс,46.13,176 тыс,ПН - СР,анимация,RUONLY
ХОЛОП 2,CP,04.01.24,2446,"3,9 млрд",10 млн,"1,6 млн",,,2446,"2,5 млрд","6,2 млн","1,0 млн",375 млн,982 тыс,84.93,734 тыс,ЧТ - ВС,комедия,RUONLY
БРЕМЕНСКИЕ МУЗЫКАНТЫ,CP,04.01.24,2322,"3,1 млрд","8,7 млн","1,3 млн",,,2322,"1,8 млрд","4,7 млн",775 тыс,315 млн,899 тыс,82.51,367 тыс,ЧТ - ВС,сказка,RUONLY
АДА,KAP,04.01.24,47,"1,7 млн","4,4 тыс",35 тыс,,,47,806 тыс,"1,7 тыс",17 тыс,,,,,,драма,RUONLY
ВЕЛИКОЛЕПНАЯ ПЯТЕРКА,NKI,28.12.23,2030,96 млн,312 тыс,47 тыс,,,2030,17 млн,63 тыс,"8,6 тыс",32 млн,103 тыс,-85.35,,,анимация,RUONLY
МУЛЬТ В КИНО. ВЫПУСК № 164. В НОВЫЙ ГОД ИГРАЮЧИ!,MVK,28.12.23,337,"4,6 млн",26 тыс,14 тыс,,,298,410 тыс,"2,7 тыс","1,4 тыс","1,8 млн","9,8 тыс",-343.97,,,анимация,RUONLY
ТРИ БОГАТЫРЯ И ПУП ЗЕМЛИ,VLG,28.12.23,2387,"1,2 млрд","3,7 млн",493 тыс,,,2376,158 млн,544 тыс,66 тыс,327 млн,937 тыс,-107.22,"1,4 млн",ПН - СР,анимация,RUONLY
ЩЕЛКУНЧИК,KAP,28.12.23,125,"5,7 млн",11 тыс,46 тыс,,,125,"1,7 млн","3,7 тыс",13 тыс,873 тыс,"1,9 тыс",47.96,,,спектакль,RUONLY
ВРЕДНАЯ ПРИВЫЧКА,NMG,21.12.23,1727,40 млн,127 тыс,23 тыс,,,1727,18 млн,55 тыс,11 тыс,"7,9 млн",26 тыс,56.55,,,комедия,RUONLY
НОВОГОДНИЙ ОЛ ИНКЛЮЗИВ,AK,21.12.23,1441,60 млн,185 тыс,42 тыс,,,1441,24 млн,72 тыс,17 тыс,16 млн,51 тыс,31.97,71 тыс,ПН - СР,"комедия, семейный",RUONLY
ШМЯК. ВОЛШЕБНАЯ ЛАВКА ЕСЕНИИ,TNL,21.12.23,119,370 тыс,"2,0 тыс","3,1 тыс",,,119,259 тыс,"1,3 тыс","2,2 тыс",,,,,,"анимация, семейный",RUONLY
ЗИНА & ЛЕХА 2. НОВОГОДНИЙ МАСКАРАД,SMKT,21.12.23,31,12 млн,36 тыс,386 тыс,,,4,647 тыс,"1,6 тыс",162 тыс,654 тыс,"1,9 тыс",-1.13,,,комедия,RUONLY
МАНЮНЯ: НОВОГОДНИЕ ПРИКЛЮЧЕНИЯ,NMG,14.12.23,1731,277 млн,956 тыс,160 тыс,,,1731,71 млн,252 тыс,41 тыс,52 млн,188 тыс,26.7,931 тыс,ПН - СР,"комедия, приключения, семейный",RUONLY
НОВОГОДНИЙ ШЕФ,NKI,14.12.23,1699,65 млн,213 тыс,38 тыс,,,1665,30 млн,91 тыс,18 тыс,14 млн,45 тыс,55.18,,,комедия,RUONLY
ЧЕСТНЫЙ РАЗВОД. БЕНЕФИС,CRP,14.12.23,1100,"6,4 млн",21 тыс,"5,8 тыс",,,1100,"4,0 млн",12 тыс,"3,7 тыс",632 тыс,"2,4 тыс",84.3,,,комедия,RUONLY
ЕЛКИ 10,NMG,07.12.23,2193,399 млн,"1,2 млн",182 тыс,,,2193,117 млн,341 тыс,53 тыс,75 млн,219 тыс,36.05,637 тыс,СР,комедия,RUONLY
ЛУНАТИКИ,AK,07.12.23,366,"2,6 млн","7,5 тыс","7,0 тыс",,,366,"1,6 млн","4,2 тыс","4,4 тыс",330 тыс,971,79.38,,,"драма, детектив",RUONLY
МУЖЧИНА К НОВОМУ ГОДУ,SBF,07.12.23,67,604 тыс,"2,0 тыс","9,0 тыс",,,67,358 тыс,951,"5,3 тыс",,,,,,"комедия, мелодрама",RUONLY
ГЕШЕ ВАНГЬЯЛ. С БЛАГОСЛОВЕНИЕМ ТРЕХ ДРАГОЦЕННОСТЕЙ,KNT,07.12.23,18,523 тыс,"1,6 тыс",29 тыс,,,18,251 тыс,809,14 тыс,,,,,,документальный,RUONLY
РЕВЕРС,KAP,07.12.23,15,385 тыс,896,26 тыс,,,15,226 тыс,573,15 тыс,,,,,,спектакль,RUONLY
ОДНА ДОМА,CIPA,07.12.23,146,10 млн,313 тыс,69 тыс,,,139,"4,3 млн",13 тыс,31 тыс,"2,3 млн","7,5 тыс",45.69,,,комедия,RUONLY
ХАРЧЫ. ИЭСТЭБИЛ,SMKT,07.12.23,46,"8,2 млн",27 тыс,178 тыс,,,46,"3,9 млн",12 тыс,84 тыс,"1,7 млн","5,2 тыс",57.09,,,"драма, триллер",RUONLY
МУЛЬТ В КИНО. ВЫПУСК № 163. 2024 ПОВОДА УЛЫБНУТЬСЯ,MVK,30.11.23,401,"2,8 млн",22 тыс,"6,9 тыс",,,401,972 тыс,"6,5 тыс","2,4 тыс",756 тыс,"5,3 тыс",22.24,,,анимация,RUONLY
ТЕЩА,CP,30.11.23,1953,669 млн,"1,9 млн",343 тыс,,,1953,214 млн,605 тыс,109 тыс,126 млн,349 тыс,41.24,146 тыс,ВС - СР,комедия,RUONLY
СЕКРЕТАРЬ ДЕДА МОРОЗА,CS,30.11.23,74,498 тыс,"3,2 тыс","6,7 тыс",,,74,183 тыс,849,"2,5 тыс",148 тыс,861,19.57,,,"комедия, семейный",RUONLY
БЛОНДИНКА,CPF,30.11.23,67,671 тыс,"1,9 тыс",10 тыс,,,67,204 тыс,636,"3,1 тыс",,,,,,"комедия, драма",RUONLY
НИНА,NKI,30.11.23,213,"3,4 млн","9,3 тыс",16 тыс,,,213,"1,4 млн",430,"6,5 тыс",584 тыс,"1,6 тыс",57.88,357 тыс,ВС - СР,"драма, мелодрама",RUONLY
БАБА МОРОЗ И ТАЙНА НОВОГО ГОДА,NKI,30.11.23,1314,25 млн,95 тыс,19 тыс,,,1314,13 млн,48 тыс,"9,8 тыс","6,1 млн",22 тыс,52.73,,,семейный,RUONLY
АРХИТЕКТОР. ИСТОРИЯ АЛЕКСЕЯ ГЕРМАНА И ЕГО ФИЛЬМОВ,KNT,30.11.23,8,76 тыс,230,"9,5 тыс",,,8,"8,8 тыс",35,"1,1 тыс",,,,,,"документальный, биография",RUONLY
ХОККЕЙНЫЕ ПАПЫ,NMG,23.11.23,2008,161 млн,550 тыс,80 тыс,,,2008,59 млн,187 тыс,30 тыс,40 млн,134 тыс,33.22,,,"семейный, спорт",RUONLY
БЕЛЫЙ СПИСОК,AK,23.11.23,421,"7,5 млн",21 тыс,18 тыс,,,421,"4,8 млн",12 тыс,11 тыс,801 тыс,"2,3 тыс",83.15,85 тыс,ПН - СР,драма,RUONLY
НАСТОЯЩИЙ ДЕД МОРОЗ,CS,23.11.23,44,145 тыс,728,"3,3 тыс",,,44,75 тыс,325,"1,7 тыс",,,,,,"комедия, семейный",RUONLY
МЕДВЕДЕВА VS МЕДВЕДЕВА,KAP,23.11.23,148,"3,2 млн","9,9 тыс",22 тыс,,,148,"1,6 млн","4,6 тыс",11 тыс,357 тыс,"1,1 тыс",77.06,,,документальный,RUONLY
МОЯ УЖАСНАЯ СЕСТРА 2,NKI,16.11.23,1930,41 млн,149 тыс,21 тыс,,,1930,22 млн,74 тыс,11 тыс,"9,4 млн",34 тыс,56.81,,,"комедия, семейный",RUONLY
ЛЕГЕНДА О САМБО,RWV,16.11.23,1280,23 млн,82 тыс,18 тыс,,,1274,14 млн,46 тыс,11 тыс,"4,4 млн",15 тыс,67.81,298 тыс,ПН - СР,"драма, спорт",RUONLY
ГАРДЕМАРИНЫ 1787. ВОЙНА,NMG,16.11.23,1101,"6,3 млн",24 тыс,"5,7 тыс",,,1101,"3,4 млн",12 тыс,"3,1 тыс","1,1 млн","4,1 тыс",69.4,,,"приключения, исторический",RUONLY
ПАПАША В БЕГАХ,AK,16.11.23,1350,27 млн,90 тыс,20 тыс,,,1350,16 млн,49 тыс,12 тыс,"5,2 млн",18 тыс,66.68,,,"комедия, приключения",RUONLY
МИНИ-МИШКИ: НОВЫЕ ПРИКЛЮЧЕНИЯ,MVK,16.11.23,475,"6,0 млн",36 тыс,13 тыс,,,475,"2,8 млн",16 тыс,"6,0 тыс","1,6 млн","9,4 тыс",44.9,,,анимация,RUONLY
НИША,RFLF,16.11.23,25,411 тыс,"1,2 тыс",16 тыс,,,25,157 тыс,446,"6,3 тыс",,,,,,"комедия, драма",RUONLY
СИНДРОМ,CP,09.11.23,1331,48 млн,142 тыс,36 тыс,,,1331,25 млн,70 тыс,19 тыс,11 млн,30 тыс,57.39,,,"драма, триллер",RUONLY
ГОД РОЖДЕНИЯ,VLG,09.11.23,393,"4,9 млн",14 тыс,12 тыс,,,393,"2,5 млн","6,6 тыс","6,4 тыс",745 тыс,"2,0 тыс",70.33,,,мелодрама,RUONLY
ЧУВСТВА АННЫ,PIFD,09.11.23,157,"6,7 млн",15 тыс,43 тыс,,,157,"2,4 млн","4,9 тыс",15 тыс,"1,3 млн","2,6 тыс",46.43,,,"фантастика, драма",RUONLY
ПИКОВАЯ ДАМА / The Queen of Spades,KAP,09.11.23,60,"3,1 млн","5,3 тыс",51 тыс,,,3,513 тыс,864,171 тыс,"1,0 млн","1,9 тыс",-101.62,,,музыка,RUONLY
ЧЕЛОВЕК НИОТКУДА,NKI,02.11.23,1883,101 млн,325 тыс,53 тыс,,,1883,48 млн,149 тыс,25 тыс,19 млн,61 тыс,60.26,,,"фантастика, приключения, триллер",RUONLY
МУЛЬТ В КИНО. ВЫПУСК № 162. СМЕЙТЕСЬ НА ЗДОРОВЬЕ!,MVK,02.11.23,603,"4,2 млн",29 тыс,"6,9 тыс",,,431,"1,4 млн","9,4 тыс","3,2 тыс","1,0 млн","7,2 тыс",28,,,анимация,RUONLY
ДОБРО ПОЖАЛОВАТЬ В СЕМЬЮ. ПОВАР ИЗ НЕАПОЛЯ,AK,02.11.23,1386,25 млн,79 тыс,18 тыс,,,1386,15 млн,44 тыс,11 тыс,"3,9 млн",12 тыс,73.5,,,"комедия, криминал",RUONLY
КАТЯ-КАТЯ,SBF,02.11.23,279,"2,6 млн",15 тыс,"9,5 тыс",,,279,600 тыс,"3,1 тыс","2,2 тыс",337 тыс,"1,6 тыс",43.84,,,"драма, семейный, военный",RUONLY
ПЯТЬ ПРОЦЕНТОВ,MVK,02.11.23,191,"2,6 млн","8,2 тыс",13 тыс,,,169,"1,4 млн","4,0 тыс","8,3 тыс",304 тыс,"1,2 тыс",78.17,478 тыс,ПН - СР,комедия,RUONLY
"ПРИВЕТ, МАМА",RFLF,02.11.23,59,898 тыс,"2,4 тыс",15 тыс,,,59,303 тыс,866,"5,1 тыс",,,,,,"комедия, драма",RUONLY
КРАЙ НАДЛОМЛЕННОЙ ЛУНЫ,PNR,02.11.23,81,"1,1 млн","2,5 тыс",13 тыс,,,81,275 тыс,793,"3,4 тыс",,,,,,драма,RUONLY
ХАПХААН,-,02.11.23,38,"3,6 млн",11 тыс,96 тыс,,,38,"1,3 млн","4,0 тыс",34 тыс,406 тыс,"1,2 тыс",68.46,,,"комедия, криминал",RUONLY
ПО ЩУЧЬЕМУ ВЕЛЕНИЮ,NMG,26.10.23,2299,"2,5 млрд","8,8 млн","1,1 млн",,,2299,407 млн,"1,4 млн",177 тыс,618 млн,"2,1 млн",-51.63,"2,0 млн",ПН - СР,"приключения, фэнтези, сказка",RUONLY
ИМПЕРАТРИЦЫ,CP,26.10.23,1771,145 млн,472 тыс,82 тыс,,,1771,40 млн,121 тыс,23 тыс,34 млн,106 тыс,14.5,,,"документальный, исторический",RUONLY
ОТПУСК В ОКТЯБРЕ,KAP,26.10.23,72,"1,7 млн","4,9 тыс",23 тыс,,,72,412 тыс,"1,2 тыс","5,7 тыс",,,,,,драма,RUONLY
СТРАСТИ ПО МАТВЕЮ,NMG,19.10.23,1785,80 млн,263 тыс,45 тыс,,,1785,28 млн,85 тыс,16 тыс,16 млн,50 тыс,44.14,,,"комедия, мелодрама",RUONLY
СЕВЕРНЫЕ АМУРЫ,SBF,19.10.23,476,"4,9 млн",35 тыс,10 тыс,,,476,"1,0 млн","4,9 тыс","2,1 тыс",,,,"2,4 млн",ВС - СР,анимация,RUONLY
ДУХ БАЙКАЛА,RWV,19.10.23,1116,39 млн,164 тыс,35 тыс,,,1113,12 млн,44 тыс,11 тыс,"7,3 млн",29 тыс,40.07,,,семейный,RUONLY
НА РУБЛЕ БЕЗ РУБЛЯ,MVK,19.10.23,374,"2,1 млн","7,1 тыс","5,5 тыс",,,320,"1,3 млн","4,2 тыс","4,2 тыс",266 тыс,979,80.06,,,комедия,RUONLY
ПОДВАЛ ГОСПОДИНА ГРИНБЕРГА,CS,19.10.23,108,"1,2 млн","3,9 тыс",12 тыс,,,108,612 тыс,"1,9 тыс","5,7 тыс",,,,,,триллер,RUONLY
ПЛАНЕТА МАКСИМУС,CP,19.10.23,292,"2,1 млн","6,3 тыс","7,3 тыс",,,288,"1,4 млн","3,7 тыс","4,9 тыс",159 тыс,442,88.76,,,драма,RUONLY
ВАСЯ НЕ В СЕБЕ,AK,12.10.23,1897,119 млн,374 тыс,63 тыс,,,1896,47 млн,151 тыс,25 тыс,26 млн,78 тыс,44.29,,,"фантастика, комедия",RUONLY
СМЕШАРИКИ СНИМАЮТ КИНО,NMG,12.10.23,2023,165 млн,672 тыс,81 тыс,,,2023,54 млн,208 тыс,27 тыс,35 млн,135 тыс,34.49,,,анимация,RUONLY
ИСПЫТАНИЕ АУЛОМ,LC,12.10.23,116,40 млн,156 тыс,345 тыс,,,45,889 тыс,"3,7 тыс",20 тыс,860 тыс,"3,6 тыс",3.26,,,"комедия, приключения, семейный",RUONLY
КЛЕТКА ИЩЕТ ПТИЦУ,PNR,12.10.23,42,"1,1 млн","3,0 тыс",26 тыс,,,42,385 тыс,"1,0 тыс","9,2 тыс",,,,,,драма,"RUONLY, FR"
СЛЕЖКА,MVK,12.10.23,79,724 тыс,"2,3 тыс","9,2 тыс",,,79,442 тыс,"1,3 тыс","5,6 тыс",116 тыс,410,73.76,,,триллер,RUONLY
ЭТ,SMKT,12.10.23,46,"4,6 млн",14 тыс,101 тыс,,,46,"2,0 млн","5,9 тыс",44 тыс,820 тыс,"2,4 тыс",59.87,,,драма,RUONLY
МУЛЬТ В КИНО. ВЫПУСК № 161. ОСЕННИЙ ЛИСТОПАД,MVK,05.10.23,611,"3,7 млн",27 тыс,"6,0 тыс",,,609,"1,3 млн","9,2 тыс","2,2 тыс",875 тыс,"6,3 тыс",34.88,,,анимация,RUONLY
ПОВЕЛИТЕЛЬ ВЕТРА,CP,05.10.23,1918,523 млн,"1,7 млн",273 тыс,,,1918,120 млн,350 тыс,63 тыс,100 млн,310 тыс,16.47,,,"приключения, биография, драма",RUONLY
ГАРДЕМАРИНЫ 1787. МИР,NMG,05.10.23,1391,13 млн,50 тыс,"9,4 тыс",,,1391,"6,6 млн",22 тыс,"4,8 тыс","3,0 млн",12 тыс,54.91,,,"приключения, исторический",RUONLY
ПЕРВАЯ ЛЮБОВЬ,NMG,05.10.23,46,184 тыс,500,"4,0 тыс",,,46,132 тыс,301,"2,9 тыс",,,,,,драма,RUONLY
АЛЕКСЕЙ БАЛАБАНОВ. ПОСЛЕСЛОВИЕ...,ABK,05.10.23,108,"2,7 млн","6,8 тыс",25 тыс,,,108,958 тыс,"2,3 тыс","8,9 тыс",767 тыс,"1,7 тыс",20.01,,,документальный,RUONLY
ИВАН СЕМЕНОВ. БОЛЬШОЙ ПОХОД,CRP,28.09.23,1749,70 млн,298 тыс,40 тыс,,,1749,27 млн,100 тыс,16 тыс,16 млн,63 тыс,41.46,691 тыс,ПН - ВС,комедия,RUONLY
ТУТ ВСЕ СВОИ,PRD,28.09.23,1037,13 млн,47 тыс,13 тыс,,,1037,"6,8 млн",22 тыс,"6,5 тыс","2,9 млн",10 тыс,57.82,,,комедия,"RUONLY, SRB"
1993,AK,28.09.23,1520,24 млн,80 тыс,16 тыс,,,1520,12 млн,37 тыс,"8,2 тыс","4,6 млн",16 тыс,62.93,,,драма,RUONLY
МИТТЕЛЬМАРШ,RFLF,28.09.23,28,254 тыс,870,"9,1 тыс",,,28,98 тыс,323,"3,5 тыс",,,,,,"комедия, драма",RUONLY
ФИНТ БОБРОВА,SMKT,28.09.23,120,934 тыс,"3,9 тыс","7,8 тыс",,,120,465 тыс,"1,6 тыс","3,9 тыс",,,,,,"документальный, биография, спорт",RUONLY
СУДЬБА ЗНАМЕНОСЦА,SMKT,28.09.23,6,583 тыс,"3,9 тыс",97 тыс,,,6,583 тыс,"3,9 тыс",97 тыс,,,,,,документальный,RUONLY
ЧУЖАЯ,NMG,21.09.23,729,13 млн,42 тыс,17 тыс,,,729,"6,1 млн",18 тыс,"8,4 тыс","2,6 млн","8,2 тыс",57.61,,,драма,RUONLY
Я БОГИНЯ,CP,21.09.23,1543,58 млн,193 тыс,38 тыс,,,1480,26 млн,78 тыс,17 тыс,13 млн,40 тыс,50.28,,,комедия,RUONLY
ЛООКУУТ УОННА НЬУРГУhУН,SMKT,21.09.23,44,22 млн,71 тыс,497 тыс,,,44,"4,3 млн",14 тыс,98 тыс,"4,3 млн",13 тыс,0.98,,,драма,RUONLY
У ЛЮДЕЙ ТАК БЫВАЕТ,RWV,14.09.23,323,"3,9 млн",13 тыс,12 тыс,,,319,"1,9 млн","5,5 тыс","6,0 тыс",,,,,,мелодрама,RUONLY
БЕРИ ДА ПОМНИ,AK,14.09.23,181,18 млн,65 тыс,98 тыс,,,181,"2,8 млн","9,0 тыс",15 тыс,"2,4 млн","8,5 тыс",13.42,171 тыс,ПН - СР,комедия,RUONLY
РАССМЕШИ МЕНЯ,CS,14.09.23,43,154 тыс,734,"3,6 тыс",,,43,79 тыс,327,"1,8 тыс",,,,,,комедия,RUONLY
МУЛЬТ В КИНО. ВЫПУСК № 160. ОСЕНЬ СМЕХУ НЕ ПОМЕХА,MVK,07.09.23,603,"3,0 млн",24 тыс,"5,0 тыс",,,421,764 тыс,"5,4 тыс","1,8 тыс",683 тыс,"5,1 тыс",10.53,,,анимация,RUONLY
ТЕЛЕКИНЕЗ,NMG,07.09.23,744,"10,0 млн",34 тыс,13 тыс,,,744,"5,8 млн",18 тыс,"7,8 тыс","1,7 млн","6,4 тыс",69.76,,,"ужасы, триллер, мистика",RUONLY
ПРАЗДНИКИ,CP,07.09.23,1724,85 млн,288 тыс,50 тыс,,,1612,39 млн,121 тыс,24 тыс,18 млн,59 тыс,52.68,,,комедия,RUONLY
Я ДЕЛАЮ ШАГ,NKI,07.09.23,1590,40 млн,156 тыс,25 тыс,,,1590,19 млн,65 тыс,12 тыс,"7,4 млн",27 тыс,60.75,426 тыс,ПН - СР,"комедия, драма, мелодрама",RUONLY
КОНЦЕРТ ОТМЕНЯЕТСЯ,ABK,07.09.23,231,703 тыс,"2,5 тыс","3,0 тыс",,,231,462 тыс,"1,5 тыс","2,0 тыс",,,,,,комедия,RUONLY
ДЕВОЧКА НИНА И ПОХИТИТЕЛИ ПИАНИНО,CP,31.08.23,1307,13 млн,58 тыс,10 тыс,,,1233,"8,1 млн",33 тыс,"6,6 тыс","3,1 млн",15 тыс,62.22,,,"фантастика, приключения, семейный",RUONLY
СИЛА ДОБРА,KNT,31.08.23,231,12 млн,78 тыс,54 тыс,,,231,"1,3 млн","7,3 тыс","5,5 тыс","1,6 млн",10 тыс,-23.93,,,драма,RUONLY
ЧИЖИК-ПЫЖИК ВОЗВРАЩАЕТСЯ,AK,31.08.23,1818,41 млн,188 тыс,23 тыс,,,1818,23 млн,93 тыс,13 тыс,10 млн,49 тыс,54.9,,,приключения,RUONLY
"РУСЛАН И ЛЮДМИЛА. БОЛЬШЕ, ЧЕМ СКАЗКА",VLG,24.08.23,2130,113 млн,471 тыс,53 тыс,,,2049,38 млн,145 тыс,18 тыс,29 млн,117 тыс,22.69,239 тыс,ПН - СР,анимация,RUONLY
КВЕСТ,CS,24.08.23,800,14 млн,62 тыс,17 тыс,,,800,"4,5 млн",17 тыс,"5,6 тыс","4,3 млн",19 тыс,4.85,,,приключения,RUONLY
КАК ЗВЕЗДЫ,CPF,17.08.23,384,"2,1 млн","6,8 тыс","5,4 тыс",,,384,"1,0 млн","3,1 тыс","2,7 тыс",202 тыс,647,80.67,,,"комедия, мелодрама",RUONLY
СВИДЕТЕЛЬ,CP,17.08.23,1139,15 млн,49 тыс,13 тыс,,,1097,"6,8 млн",20 тыс,"6,2 тыс","2,5 млн","8,5 тыс",62.58,,,драма,RUONLY
